id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,1,1,0.0
2,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,2,2,0.0
3,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,3,3,0.0
4,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,4,4,0.0
5,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,5,5,0.0
6,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,6,6,0.0
7,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,7,7,0.0
8,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,8,8,0.0
9,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,9,9,0.0
10,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,10,10,0.0
11,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,11,11,0.0
12,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,12,12,0.0
13,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,13,13,0.0
14,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,14,14,0.0
15,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,15,15,0.0
16,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,16,16,0.0
17,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,17,17,0.0
18,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,18,18,0.0
19,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,19,19,0.0
20,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,20,20,0.0
21,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,21,21,0.0
22,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,22,22,0.0
23,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,23,23,0.0
24,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,24,24,0.0
25,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,1,1,0.0
26,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,2,2,0.0
27,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,3,3,0.0
28,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,4,4,0.0
29,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,5,5,0.0
30,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,6,6,0.0
31,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,7,7,0.0
32,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,8,8,0.0
33,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,9,9,0.0
34,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,10,10,0.0
35,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,11,11,0.0
36,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,12,12,0.0
37,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,13,13,0.0
38,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,14,14,0.0
39,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,15,15,0.0
40,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,16,16,0.0
41,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,17,17,0.0
42,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,18,18,0.0
43,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,19,19,0.0
44,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,20,20,0.0
45,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,21,21,0.0
46,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,22,22,0.0
47,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,23,23,0.0
48,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,24,24,0.0
49,NL_CCGT,NL_Balance,2030,1,1.0,1.0,1,1,0.0
50,NL_CCGT,NL_Balance,2030,1,1.0,1.0,2,2,0.0
51,NL_CCGT,NL_Balance,2030,1,1.0,1.0,3,3,0.0
52,NL_CCGT,NL_Balance,2030,1,1.0,1.0,4,4,0.0
53,NL_CCGT,NL_Balance,2030,1,1.0,1.0,5,5,0.0
54,NL_CCGT,NL_Balance,2030,1,1.0,1.0,6,6,0.0
55,NL_CCGT,NL_Balance,2030,1,1.0,1.0,7,7,0.0
56,NL_CCGT,NL_Balance,2030,1,1.0,1.0,8,8,0.0
57,NL_CCGT,NL_Balance,2030,1,1.0,1.0,9,9,2499.0
58,NL_CCGT,NL_Balance,2030,1,1.0,1.0,10,10,2074.303626465634
59,NL_CCGT,NL_Balance,2030,1,1.0,1.0,11,11,1785.0
60,NL_CCGT,NL_Balance,2030,1,1.0,1.0,12,12,1748.1551484283386
61,NL_CCGT,NL_Balance,2030,1,1.0,1.0,13,13,472.3107413230546
62,NL_CCGT,NL_Balance,2030,1,1.0,1.0,14,14,714.0
63,NL_CCGT,NL_Balance,2030,1,1.0,1.0,15,15,0.0
64,NL_CCGT,NL_Balance,2030,1,1.0,1.0,16,16,0.0
65,NL_CCGT,NL_Balance,2030,1,1.0,1.0,17,17,0.0
66,NL_CCGT,NL_Balance,2030,1,1.0,1.0,18,18,0.0
67,NL_CCGT,NL_Balance,2030,1,1.0,1.0,19,19,0.0
68,NL_CCGT,NL_Balance,2030,1,1.0,1.0,20,20,0.0
69,NL_CCGT,NL_Balance,2030,1,1.0,1.0,21,21,0.0
70,NL_CCGT,NL_Balance,2030,1,1.0,1.0,22,22,0.0
71,NL_CCGT,NL_Balance,2030,1,1.0,1.0,23,23,0.0
72,NL_CCGT,NL_Balance,2030,1,1.0,1.0,24,24,0.0
73,NL_OCGT,NL_Balance,2030,1,1.0,1.0,1,1,0.0
74,NL_OCGT,NL_Balance,2030,1,1.0,1.0,2,2,0.0
75,NL_OCGT,NL_Balance,2030,1,1.0,1.0,3,3,0.0
76,NL_OCGT,NL_Balance,2030,1,1.0,1.0,4,4,0.0
77,NL_OCGT,NL_Balance,2030,1,1.0,1.0,5,5,0.0
78,NL_OCGT,NL_Balance,2030,1,1.0,1.0,6,6,0.0
